% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
40 +7.529562207e+001 +7.529562207e+001 +7.158562207e+001 +7.158562207e+001 +1.3280e+000 -5.7226e+000 +7.1688e-001
46 +6.825036722e+001 +6.825036722e+001 +6.454036722e+001 +6.454036722e+001 +1.5517e+000 -4.4222e+000 +3.0088e-001
47 +4.009309974e+001 +4.009309974e+001 +3.638309974e+001 +3.638309974e+001 +1.2953e+000 -2.5012e+000 +1.2318e+000
55 +3.618211522e+001 +3.618211522e+001 +3.247211522e+001 +3.247211522e+001 +1.4892e+000 -4.5215e+000 +2.4689e+000
76 +2.900225952e+001 +2.900225952e+001 +2.529225952e+001 +2.529225952e+001 +1.1355e+000 -2.7518e+000 +1.3619e+000
87 +2.341070954e+001 +2.341070954e+001 +1.970070954e+001 +1.970070954e+001 +1.1843e+000 -3.0165e+000 +1.1929e+000
90 +1.861799421e+001 +1.861799421e+001 +1.490799421e+001 +1.490799421e+001 +1.4526e+000 -2.9816e+000 +1.8291e+000
99 +1.440462640e+001 +1.440462640e+001 +1.069462640e+001 +1.069462640e+001 +1.1760e+000 -3.3933e+000 +1.1377e+000
134 +1.382875564e+001 +1.382875564e+001 +1.011875564e+001 +1.011875564e+001 +1.1805e+000 -2.9567e+000 +1.0494e+000
166 +7.732855766e+000 +7.732855766e+000 +4.022855766e+000 +4.022855766e+000 +1.2969e+000 -2.9071e+000 +2.1464e+000
249 +6.032910055e+000 +6.032910055e+000 +2.322910055e+000 +2.322910055e+000 +1.2562e+000 -2.3223e+000 +1.7634e+000
782 +5.549752718e+000 +5.549752718e+000 +1.839752718e+000 +1.839752718e+000 +1.1488e+000 -2.8515e+000 +1.7910e+000
806 +5.472703384e+000 +5.472703384e+000 +1.762703384e+000 +1.762703384e+000 +1.2339e+000 -2.8867e+000 +1.7803e+000
834 +5.368095761e+000 +5.368095761e+000 +1.658095761e+000 +1.658095761e+000 +1.2240e+000 -2.8798e+000 +1.7817e+000
844 +5.175620573e+000 +5.175620573e+000 +1.465620573e+000 +1.465620573e+000 +1.2092e+000 -2.8897e+000 +1.7826e+000
864 +5.051823765e+000 +5.051823765e+000 +1.341823765e+000 +1.341823765e+000 +1.1750e+000 -2.8764e+000 +1.7838e+000
887 +4.977434187e+000 +4.977434187e+000 +1.267434187e+000 +1.267434187e+000 +1.1653e+000 -2.8887e+000 +1.7827e+000
% function evaluation | noise-free fitness - Fopt (1.321800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.792426525e+002 +1.792426525e+002 +3.114226525e+002 +3.114226525e+002 +3.5291e+000 -4.7425e-001 +1.0629e+000
2 +1.652315681e+002 +1.652315681e+002 +2.974115681e+002 +2.974115681e+002 +3.5560e+000 -4.3488e-001 +1.3288e+000
4 +1.174831768e+002 +1.174831768e+002 +2.496631768e+002 +2.496631768e+002 +2.3801e+000 -3.8608e-001 +1.6961e+000
17 +1.038193324e+002 +1.038193324e+002 +2.359993324e+002 +2.359993324e+002 +2.6547e+000 -2.2489e-002 +1.9575e+000
32 +9.333834594e+001 +9.333834594e+001 +2.255183459e+002 +2.255183459e+002 +2.1056e+000 -6.3554e-001 +2.3897e+000
33 +7.932014724e+001 +7.932014724e+001 +2.115001472e+002 +2.115001472e+002 +8.9395e-001 +2.3673e+000 +2.2431e+000
35 +4.629896045e+001 +4.629896045e+001 +1.784789604e+002 +1.784789604e+002 -4.5168e+000 +1.9196e+000 +2.9179e+000
47 +1.501690028e+001 +1.501690028e+001 +1.471969003e+002 +1.471969003e+002 -7.8098e-001 +1.4028e+000 +3.5039e+000
71 +1.149009724e+001 +1.149009724e+001 +1.436700972e+002 +1.436700972e+002 -3.9351e+000 +1.5312e+000 +2.7623e+000
81 +1.071669936e+001 +1.071669936e+001 +1.428966994e+002 +1.428966994e+002 -3.7047e+000 +1.3502e+000 +3.4524e+000
115 +8.543211989e+000 +8.543211989e+000 +1.407232120e+002 +1.407232120e+002 -2.6646e+000 +8.9561e-001 +3.4506e+000
179 +7.643242232e+000 +7.643242232e+000 +1.398232422e+002 +1.398232422e+002 -3.7116e+000 +1.4707e+000 +3.7475e+000
257 +6.862467500e+000 +6.862467500e+000 +1.390424675e+002 +1.390424675e+002 -3.7968e+000 +1.4739e+000 +3.5378e+000
263 +2.090505126e+000 +2.090505126e+000 +1.342705051e+002 +1.342705051e+002 -3.7365e+000 +1.5106e+000 +3.4948e+000
283 +1.217995228e+000 +1.217995228e+000 +1.333979952e+002 +1.333979952e+002 -3.8239e+000 +1.5173e+000 +3.4643e+000
319 +9.516505028e-001 +9.516505028e-001 +1.331316505e+002 +1.331316505e+002 -3.7215e+000 +1.5065e+000 +3.4733e+000
336 +7.576233933e-001 +7.576233933e-001 +1.329376234e+002 +1.329376234e+002 -3.8047e+000 +1.4797e+000 +3.4480e+000
344 +4.574213389e-001 +4.574213389e-001 +1.326374213e+002 +1.326374213e+002 -3.7323e+000 +1.5022e+000 +3.4558e+000
347 +7.164698104e-002 +7.164698104e-002 +1.322516470e+002 +1.322516470e+002 -3.7506e+000 +1.4878e+000 +3.4586e+000
369 +5.923019153e-002 +5.923019153e-002 +1.322392302e+002 +1.322392302e+002 -3.7599e+000 +1.4740e+000 +3.4586e+000
395 +3.465886454e-002 +3.465886454e-002 +1.322146589e+002 +1.322146589e+002 -3.7591e+000 +1.4854e+000 +3.4582e+000
405 +3.093044556e-002 +3.093044556e-002 +1.322109304e+002 +1.322109304e+002 -3.7679e+000 +1.4780e+000 +3.4590e+000
408 +1.401369559e-003 +1.401369559e-003 +1.321814014e+002 +1.321814014e+002 -3.7639e+000 +1.4812e+000 +3.4621e+000
476 +7.689391732e-004 +7.689391732e-004 +1.321807689e+002 +1.321807689e+002 -3.7629e+000 +1.4823e+000 +3.4621e+000
504 +4.039887266e-004 +4.039887266e-004 +1.321804040e+002 +1.321804040e+002 -3.7633e+000 +1.4818e+000 +3.4614e+000
507 +1.461614814e-004 +1.461614814e-004 +1.321801462e+002 +1.321801462e+002 -3.7639e+000 +1.4828e+000 +3.4617e+000
508 +1.268864767e-004 +1.268864767e-004 +1.321801269e+002 +1.321801269e+002 -3.7639e+000 +1.4828e+000 +3.4615e+000
513 +8.844819473e-005 +8.844819473e-005 +1.321800884e+002 +1.321800884e+002 -3.7636e+000 +1.4827e+000 +3.4616e+000
518 +1.598829854e-005 +1.598829854e-005 +1.321800160e+002 +1.321800160e+002 -3.7638e+000 +1.4825e+000 +3.4616e+000
546 +9.060980119e-006 +9.060980119e-006 +1.321800091e+002 +1.321800091e+002 -3.7642e+000 +1.4824e+000 +3.4616e+000
562 +6.265199005e-006 +6.265199005e-006 +1.321800063e+002 +1.321800063e+002 -3.7639e+000 +1.4825e+000 +3.4616e+000
568 +2.382186636e-006 +2.382186636e-006 +1.321800024e+002 +1.321800024e+002 -3.7641e+000 +1.4824e+000 +3.4616e+000
594 +1.723552373e-006 +1.723552373e-006 +1.321800017e+002 +1.321800017e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
620 +1.065007098e-006 +1.065007098e-006 +1.321800011e+002 +1.321800011e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
630 +7.883721764e-007 +7.883721764e-007 +1.321800008e+002 +1.321800008e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
636 +5.368694360e-007 +5.368694360e-007 +1.321800005e+002 +1.321800005e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
651 +4.537725147e-007 +4.537725147e-007 +1.321800005e+002 +1.321800005e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
661 +4.452330415e-007 +4.452330415e-007 +1.321800004e+002 +1.321800004e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
667 +3.503476194e-007 +3.503476194e-007 +1.321800004e+002 +1.321800004e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
668 +1.305448905e-007 +1.305448905e-007 +1.321800001e+002 +1.321800001e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
683 +6.017538112e-008 +6.017538112e-008 +1.321800001e+002 +1.321800001e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
691 +7.604597840e-009 +7.604597840e-009 +1.321800000e+002 +1.321800000e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
1003 +0.000000000e+000 +0.000000000e+000 +1.321800000e+002 +1.321800000e+002 -3.7640e+000 +1.4824e+000 +3.4616e+000
% function evaluation | noise-free fitness - Fopt (6.438000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.486088865e+002 +4.486088865e+002 +5.129888865e+002 +5.129888865e+002 -4.2832e+000 +3.3158e+000 +1.4805e+000
5 +2.432172349e+002 +2.432172349e+002 +3.075972349e+002 +3.075972349e+002 -4.6963e+000 +3.2665e+000 +5.6850e-001
9 +6.347876602e+001 +6.347876602e+001 +1.278587660e+002 +1.278587660e+002 -3.2683e+000 +2.9611e+000 -2.0381e+000
30 +6.214694691e+001 +6.214694691e+001 +1.265269469e+002 +1.265269469e+002 +1.6226e-001 +2.9385e+000 -9.6144e-001
32 +4.589088398e+001 +4.589088398e+001 +1.102708840e+002 +1.102708840e+002 -1.9779e+000 +1.7741e+000 -2.0471e+000
115 +3.943275919e+001 +3.943275919e+001 +1.038127592e+002 +1.038127592e+002 -3.1616e+000 +3.2587e+000 -1.9324e+000
117 +3.471685999e+001 +3.471685999e+001 +9.909685999e+001 +9.909685999e+001 +1.0696e+000 +4.1217e+000 -2.0619e+000
135 +3.292861546e+001 +3.292861546e+001 +9.730861546e+001 +9.730861546e+001 -1.1287e+000 +2.6553e+000 -1.7458e+000
166 +3.159937104e+001 +3.159937104e+001 +9.597937104e+001 +9.597937104e+001 -7.8904e-001 +3.3800e+000 -2.5862e+000
174 +1.075644833e+001 +1.075644833e+001 +7.513644833e+001 +7.513644833e+001 +1.0052e+000 +3.7626e+000 -1.9405e+000
270 +9.697337072e+000 +9.697337072e+000 +7.407733707e+001 +7.407733707e+001 +3.1746e+000 +3.2883e+000 -2.2458e+000
350 +2.873674504e+000 +2.873674504e+000 +6.725367450e+001 +6.725367450e+001 +2.9514e+000 +3.3129e+000 -2.3158e+000
376 +2.662939193e+000 +2.662939193e+000 +6.704293919e+001 +6.704293919e+001 +3.0150e+000 +3.3235e+000 -2.2997e+000
383 +2.426685573e+000 +2.426685573e+000 +6.680668557e+001 +6.680668557e+001 +3.0488e+000 +3.3370e+000 -2.3131e+000
406 +2.120244580e+000 +2.120244580e+000 +6.650024458e+001 +6.650024458e+001 +3.1133e+000 +3.3067e+000 -2.3079e+000
589 +1.328610782e+000 +1.328610782e+000 +6.570861078e+001 +6.570861078e+001 +2.0509e+000 +3.2616e+000 -2.3325e+000
655 +9.737692126e-001 +9.737692126e-001 +6.535376921e+001 +6.535376921e+001 +3.1119e+000 +3.2634e+000 -2.3288e+000
% function evaluation | noise-free fitness - Fopt (2.824800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.734135440e+001 +8.734135440e+001 +3.698213544e+002 +3.698213544e+002 +3.3549e+000 -3.0466e-001 +2.5830e+000
9 +7.625443161e+001 +7.625443161e+001 +3.587344316e+002 +3.587344316e+002 +3.9218e+000 -1.0489e+000 +3.2620e-001
