% function evaluation | noise-free fitness - Fopt (-1.025500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2611 +1.295733961e+001 +1.295733961e+001 -4.552266039e+001 -4.552266039e+001
2702 +1.266547518e+001 +1.266547518e+001 -4.581452482e+001 -4.581452482e+001
2750 +1.180409447e+001 +1.180409447e+001 -4.667590553e+001 -4.667590553e+001
2850 +1.165019883e+001 +1.165019883e+001 -4.682980117e+001 -4.682980117e+001
2878 +1.119076635e+001 +1.119076635e+001 -4.728923365e+001 -4.728923365e+001
3026 +1.037183348e+001 +1.037183348e+001 -4.810816652e+001 -4.810816652e+001
3305 +9.817630653e+000 +9.817630653e+000 -4.866236935e+001 -4.866236935e+001
3586 +9.513031213e+000 +9.513031213e+000 -4.896696879e+001 -4.896696879e+001
3615 +9.187222657e+000 +9.187222657e+000 -4.929277734e+001 -4.929277734e+001
4327 +8.245371918e+000 +8.245371918e+000 -5.023462808e+001 -5.023462808e+001
4883 +7.901209925e+000 +7.901209925e+000 -5.057879007e+001 -5.057879007e+001
5029 +7.749679812e+000 +7.749679812e+000 -5.073032019e+001 -5.073032019e+001
5872 +7.317051085e+000 +7.317051085e+000 -5.116294892e+001 -5.116294892e+001
6380 +7.146947073e+000 +7.146947073e+000 -5.133305293e+001 -5.133305293e+001
6605 +6.768052773e+000 +6.768052773e+000 -5.171194723e+001 -5.171194723e+001
17894 +6.112615280e+000 +6.112615280e+000 -5.236738472e+001 -5.236738472e+001
157480 +5.168430776e+000 +5.168430776e+000 -5.331156922e+001 -5.331156922e+001
% function evaluation | noise-free fitness - Fopt (-6.130800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.861147648e+001 +8.861147648e+001 -5.244685235e+002 -5.244685235e+002
2 +8.546954414e+001 +8.546954414e+001 -5.276104559e+002 -5.276104559e+002
3 +6.362743488e+001 +6.362743488e+001 -5.494525651e+002 -5.494525651e+002
142 +6.223218835e+001 +6.223218835e+001 -5.508478116e+002 -5.508478116e+002
156 +6.046886019e+001 +6.046886019e+001 -5.526111398e+002 -5.526111398e+002
204 +5.655915653e+001 +5.655915653e+001 -5.565208435e+002 -5.565208435e+002
241 +5.434155396e+001 +5.434155396e+001 -5.587384460e+002 -5.587384460e+002
250 +4.429567957e+001 +4.429567957e+001 -5.687843204e+002 -5.687843204e+002
447 +4.184555834e+001 +4.184555834e+001 -5.712344417e+002 -5.712344417e+002
460 +3.918214463e+001 +3.918214463e+001 -5.738978554e+002 -5.738978554e+002
610 +3.802579923e+001 +3.802579923e+001 -5.750542008e+002 -5.750542008e+002
661 +3.788940311e+001 +3.788940311e+001 -5.751905969e+002 -5.751905969e+002
736 +3.336413886e+001 +3.336413886e+001 -5.797158611e+002 -5.797158611e+002
