% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3 +1.149743010e+001 +1.149743010e+001 -3.730425699e+002 -3.730425699e+002 +2.1888e+000 +4.0851e+000 +2.3975e+000 +1.9264e+000 -2.7437e-001
4 +1.116684492e+001 +1.116684492e+001 -3.733731551e+002 -3.733731551e+002 +3.3716e+000 +4.2308e+000 +2.8279e+000 +2.0243e+000 -1.2977e-001
10 +7.744678149e+000 +7.744678149e+000 -3.767953219e+002 -3.767953219e+002 +2.2577e+000 +3.6230e+000 +2.0604e+000 +2.0132e+000 -2.7859e-002
19 +3.996840374e+000 +3.996840374e+000 -3.805431596e+002 -3.805431596e+002 +2.1494e+000 +3.8341e+000 +1.9276e+000 +1.7193e+000 +1.3556e-001
40 +3.503154953e+000 +3.503154953e+000 -3.810368450e+002 -3.810368450e+002 +3.0297e+000 +4.3453e+000 +2.4891e+000 +1.7502e+000 -1.1620e-001
84 +1.278566953e+000 +1.278566953e+000 -3.832614330e+002 -3.832614330e+002 +9.8221e-001 +3.6142e+000 +4.8203e-001 +2.1447e+000 -1.6987e+000
10603 +1.108443693e+000 +1.108443693e+000 -3.834315563e+002 -3.834315563e+002 +4.3788e-001 +1.0257e-001 +3.8459e+000 +1.2217e+000 -1.3231e+000
73871 +8.377480719e-001 +8.377480719e-001 -3.837022519e+002 -3.837022519e+002 -1.3502e+000 +6.0046e-001 +1.5119e+000 +6.5132e-001 -3.0199e+000
151781 +7.507383408e-001 +7.507383408e-001 -3.837892617e+002 -3.837892617e+002 +9.9998e-001 -2.2158e+000 -7.0810e-001 -1.0490e+000 -2.3408e+000
591501 +6.724789882e-001 +6.724789882e-001 -3.838675210e+002 -3.838675210e+002 +3.6878e+000 +1.8602e+000 +6.8840e-001 +4.5602e+000 +2.2663e-001
1227634 +3.438502269e-001 +3.438502269e-001 -3.841961498e+002 -3.841961498e+002 +2.1615e+000 +2.5998e+000 +2.1374e+000 +3.3900e+000 +3.1750e+000
% function evaluation | noise-free fitness - Fopt (-6.071200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.021875586e+001 +2.021875586e+001 -5.869012441e+002 -5.869012441e+002 -4.8004e+000 +4.7835e+000 -4.0189e+000 +4.2398e+000 +4.0236e-001
5 +1.533204244e+001 +1.533204244e+001 -5.917879576e+002 -5.917879576e+002 -4.3464e+000 +4.6401e+000 -1.7035e+000 +5.4170e+000 +1.3417e-001
7 +1.277516501e+001 +1.277516501e+001 -5.943448350e+002 -5.943448350e+002 -4.4922e+000 +4.5643e+000 -2.8314e+000 +4.7309e+000 +2.9402e-001
14 +1.248221820e+001 +1.248221820e+001 -5.946377818e+002 -5.946377818e+002 -5.6745e+000 +5.5958e+000 -2.8099e+000 +4.9809e+000 +1.0706e-001
17 +1.212467896e+001 +1.212467896e+001 -5.949953210e+002 -5.949953210e+002 -4.6629e+000 +4.5482e+000 -3.3693e+000 +4.9007e+000 +2.1078e-001
19 +8.670326254e+000 +8.670326254e+000 -5.984496737e+002 -5.984496737e+002 -5.2739e+000 +4.4056e+000 -4.5818e+000 +1.8716e+000 +1.8656e-001
23 +7.865918205e+000 +7.865918205e+000 -5.992540818e+002 -5.992540818e+002 -5.1854e+000 +5.0634e+000 -3.5598e+000 +5.7184e+000 +1.0328e-001
36 +4.267508040e+000 +4.267508040e+000 -6.028524920e+002 -6.028524920e+002 -3.4392e+000 +3.2516e+000 -4.7814e+000 +5.8310e+000 -9.2722e-002
53 +2.615242010e+000 +2.615242010e+000 -6.045047580e+002 -6.045047580e+002 -3.8533e+000 +5.0939e+000 -3.2461e+000 +3.6393e+000 +4.0773e-001
